id,recording,date,time_BST,time_GMT,transect,track,gain,distance,sea state,notes,ST file,detected_st,detected_cpod_raw,detected_cpod_train,detected_cpod_hp,detected_fpod_raw,detected_fpod_train,detected_fpod_hp,depth ,bearingN,true_distance,tidal_twelfth ,SL2
pb1,rec 1,02/04/2023,10:09:30,09:09:30,1,1.1,30,600,2,engine on,1.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,1,125
pb2,rec 1,02/04/2023,10:10:30,09:10:30,1,1.1,50,600,2,engine on,1.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,1,145
pb3,rec 2,02/04/2023,10:12:00,09:12:00,1,1.1,50,600,2,engine on,1.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,1,145
pb4,rec 2,02/04/2023,10:30:00,09:30:00,1,1.1,30,600,2,engine on,1.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,1,125
pb5,rec 3,02/04/2023,10:13:30,09:13:30,1,1.1,30,600,2,engine on,1.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,1,120
pb6,rec 3,02/04/2023,10:15:30,09:15:30,1,1.1,50,600,2,engine on,1.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,1,140
pb7,rec 4,02/04/2023,10:14:30,09:14:30,1,1.1,30,600,2,,1.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,1,123
pb8,rec 4,02/04/2023,10:16:00,09:16:00,1,1.1,50,600,2,,1.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,1,143
pb9,rec 5,02/04/2023,10:17:00,09:17:00,1,1.1,50,600,2,,1.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,1,152
pb10,rec 5,02/04/2023,10:17:30,09:17:30,1,1.1,30,600,2,,1.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,1,132
pb11,rec 1,02/04/2023,10:21:30,09:21:30,1,1.1,30,500,2,,1.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,1,125
pb12,rec 1,02/04/2023,10:22:30,09:22:30,1,1.1,50,500,2,,1.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,1,145
pb13,rec 2,02/04/2023,10:23:30,09:23:30,1,1.1,50,500,2,,1.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,1,145
pb14,rec 2,02/04/2023,10:24:30,09:24:30,1,1.1,30,500,2,,1.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,1,125
pb15,rec 3,02/04/2023,10:25:30,09:25:30,1,1.1,30,500,2,,1.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,1,120
pb16,rec 3,02/04/2023,10:26:30,09:26:30,1,1.1,50,500,2,,1.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,1,140
pb17,rec 4,02/04/2023,10:27:30,09:27:30,1,1.1,50,500,2,,1.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,1,143
pb18,rec 4,02/04/2023,10:28:30,09:28:30,1,1.1,30,500,2,,1.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,1,123
pb19,rec 5,02/04/2023,10:29:30,09:29:30,1,1.1,30,500,2,,2.1,0,0,0,0,0,0,0,36.5,294.2,499.12667,1,132
pb20,rec 5,02/04/2023,10:30:30,09:30:30,1,1.1,50,500,2,,2.1,0,0,0,0,0,0,0,36.5,294.2,499.12667,1,152
pb21,rec 1,02/04/2023,10:35:00,09:35:00,1,1.1,30,400,2,,2.2,1,0,0,0,0,0,0,32,295.8,401.39187,1,125
pb22,rec 1,02/04/2023,10:36:30,09:36:30,1,1.1,50,400,2,,2.2,1,0,0,0,0,0,0,32,295.8,401.39187,1,145
pb23,rec 2,02/04/2023,10:37:30,09:37:30,1,1.1,50,400,2,,2.2,1,0,0,0,0,0,0,32,295.8,401.39187,1,145
pb24,rec 2,02/04/2023,10:38:30,09:38:30,1,1.1,30,400,2,,2.2,1,0,0,0,0,0,0,32,295.8,401.39187,1,125
pb25,rec 3,02/04/2023,10:39:30,09:39:30,1,1.1,30,400,2,,2.2,0,0,0,0,0,0,0,32,295.8,401.39187,1,120
pb26,rec 3,02/04/2023,10:40:30,09:40:30,1,1.1,50,400,2,,2.2,0,0,0,0,0,0,0,32,295.8,401.39187,1,140
pb27,rec 4,02/04/2023,10:41:30,09:41:30,1,1.1,50,400,2,,2.2,0,0,0,0,0,0,0,32,295.8,401.39187,1,143
pb28,rec 4,02/04/2023,10:42:30,09:42:30,1,1.1,30,400,2,,2.2,0,0,0,0,0,0,0,32,295.8,401.39187,1,123
pb29,rec 5,02/04/2023,10:43:30,09:43:30,1,1.1,30,400,2,,2.2,0,0,0,0,0,0,0,32,295.8,401.39187,1,132
pb30,rec 5,02/04/2023,10:44:30,09:44:30,1,1.1,50,400,2,,2.2,0,0,0,0,0,0,0,32,295.8,401.39187,1,152
pb31,rec 1,02/04/2023,10:49:00,09:49:00,1,1.1,30,300,2,,2.3,1,0,0,0,1,0,0,30.4,280.2,298.39286,1,125
pb32,rec 1,02/04/2023,10:50:00,09:50:00,1,1.1,50,300,2,,2.3,1,1,0,0,1,0,0,30.4,280.2,298.39286,1,145
pb33,rec 2,02/04/2023,10:51:00,09:51:00,1,1.1,50,300,2,,2.3,1,0,0,0,1,0,0,30.4,280.2,298.39286,1,145
pb34,rec 2,02/04/2023,10:52:00,09:52:00,1,1.1,30,300,2,,2.3,0,0,0,0,0,0,0,30.4,280.2,298.39286,1,125
pb35,rec 3,02/04/2023,10:53:00,09:53:00,1,1.1,30,300,2,,2.3,0,0,0,0,0,0,0,30.4,280.2,298.39286,1,120
pb36,rec 3,02/04/2023,10:54:00,09:54:00,1,1.1,50,300,2,,2.3,1,0,0,0,0,0,0,30.4,280.2,298.39286,1,140
pb37,rec 4,02/04/2023,10:55:00,09:55:00,1,1.1,50,300,2,,2.3,1,0,0,0,0,0,0,30.4,280.2,298.39286,1,143
pb38,rec 4,02/04/2023,10:56:00,09:56:00,1,1.1,30,300,2,,2.3,0,0,0,0,0,0,0,30.4,280.2,298.39286,1,123
pb39,rec 5,02/04/2023,10:57:30,09:57:30,1,1.1,30,300,2,,2.3,1,0,0,0,0,0,0,30.4,280.2,298.39286,1,132
